index,class,title,type,language,set,s2_id,gs_id,alternate_gs_id,alternate_s2_id,original_article
78,5,A Survey on Anomaly Detection for Technical Systems using LSTM Networks,paper,English,Common,84a7897cf8542b097d7ceff6e9daa6d97b4ad952,1172599405174416728,,,
79,5,A Survey on Anomaly detection in Evolving Data: [with Application to Forest Fire Risk Prediction],paper,English,S2,8ea10fedc0f550aa05dbb419825c1c17d2e6950f,,,,
80,5,A SURVEY ON ANOMALY DETECTION METHODS FOR AD HOC NETWORKS,paper,English,S2,bb8647b9074723d4e6dbe33a77448438812865af,,,,
81,5,A Survey on Anomaly Detection of Botnet in Network,paper,English,S2,5d12a131c03ebe3f67cca589b7af631022d7b74d,,,,
82,5,"A Survey on Anomaly Detection, Life Prediction and Maintenance Decision for Industrial Processes",paper,English,S2,d165f98ca65ef89ab7fba1d29c2193cff72cd3f9,,,,
83,2,A Survey on Association Rule Mining,paper,English,S2,beca766d2c91e5895c80d9a289cb9b4ccd4a2b51,,,,
84,2,A Survey on Big Data for Network Traffic Monitoring and Analysis,paper,English,S2,3cf5aec66b31f7650042fa22be6932dc54711a83,,,,
85,5,A Survey on Blockchain Anomaly Detection Using Data Mining Techniques,paper,English,S2,0d21e628ae13a70d61e90e61ed20481803513401,,,,
86,5,A Survey on Cluster Based Outlier Detection Techniques in Data Stream,paper,English,S2,66e6a9342565b34cce59a0f2b865b03879b1b99f,,,,
87,5,A Survey on Deep Learning Techniques for Video Anomaly Detection,paper,English,S2,68f861693fbcb52f9bf1c6709f0d59d7ec28d759,,,,
88,5,A Survey on Different Graph Based Anomaly Detection Techniques,paper,English,S2,c93d8f9abb16fda716608b12971c3e2119583df5,,,,
89,1,A Survey on GANs for Anomaly Detection,preprint,English,Common,0bdd74925d662a78efdf130d953dff97a131d12a,13075903367544403689,,,
90,5,A Survey on Log Anomaly Detection using Deep Learning,paper,English,Common,6555b55e0c7c57f01323bad931d21646b2588a25,7624758741472653805,,,
91,6,A survey on machine learning and outlier detection techniques,paper,English,Common,7f5a2a9daa38c38dd3768cb3686062ee3addf91e,931319268019178992,,,
92,6,A Survey on Mixed-Attribute Outlier Detection Methods,paper,English,S2,501fd05e49c53764fc0883af1f057e5dc7eaa574,,,,
93,5,A Survey on Outlier Detection in Financial Transactions,paper,English,Common,6cd9214579b20a2a709554321e9c6cfacf0b0a54,3801958955951520593,,,
94,5,A survey on outlier detection in Internet of Things big data,paper,English,S2,7d326c44ef6752605ee8004e7df3e439392fc834,,,,
95,5,A Survey on Outlier Detection in the Context of Stream Mining: Review of Existing Approaches and Recommadations,paper,English,Common,e4f6442951c51c2ff2541e0252d7110fbd1591be,5679567855164274190,,,
96,6,A Survey on Outlier Detection Methods,paper,English,Common,759d21394435103ca62d23955f9bb99edda5e878,6637545013878501925,,,
97,6,A Survey on Outlier Detection Methods,paper,English,S2,262538d4b9203e6afc91f82c325ee5b7fcfbe93a,,,,
98,5,A Survey On Outlier Detection Technique In Streaming Data Using Data Clustering Approach,paper,English,S2,cab35a683cc2b561877c3954dc790176d9b0418e,,,,
99,5,A Survey on Outlier Detection Techniques for Credit Card Fraud Detection,paper,English,Common,863e77593b9c3abed4d83348e2dc898a0bd9e850,6772685838937794422,,,
100,5,A survey on outlier explanations,paper,English,Common,096134e08d39c17b13344e773a78a2649206f22a,9819441409454586346,,,
101,5,A Survey on Social Media Anomaly Detection,paper,English,Common,2212e42e73bcc61e861428f32bf1180e81f3d049,3478750403925878250,,,
102,6,A survey on unsupervised outlier detection in high‐dimensional numerical data,paper,English,Common,b65fc8f5e7329f0476bc7280f0ef6b91a8c8484b,6869675435955578337,,,
103,5,A Survey on Urban Traffic Anomalies Detection Algorithms,paper,English,S2,6e8b9f6f2a24e0db9131c9a247b2ef514accec37,,,,
104,5,A Systematic Literature Review on Outlier Detection in Wireless Sensor Networks,paper,English,Common,6a152e021b84cf5768812a16c4bbf388702deadb,16748143692167041414,,,
105,2,A Systematic Review and Meta-Analysis of Cognitive-Behavioral Therapy for Anxiety in Youth with High-Functioning Autism Spectrum Disorders,paper,English,S2,71113b1ccc39387269df850db5a1cbc9af0c0629,,,,
106,2,A systematic review of research on educational leadership and management in South Africa: mapping knowledge production in a developing society,paper,English,S2,d215b7f471499a9f02fcb7f578d2fe7d9b609a68,,,,
107,2,A Systematic Review of the Energy Cost and Metabolic Intensity of Yoga.,paper,English,S2,bb8c577ef06fb2d01904474f1ef34695db945a6f,,,,
108,3,A tutorial overview of anomaly detection in hyperspectral images,tutorial,English,GS,6e0530ddd9a8c0c93408140ad08b074f02b45520,14743957039789219611,,,
109,6,"A Unified Survey on Anomaly, Novelty, Open-Set, and Out-of-Distribution Detection: Solutions and Future Challenges",paper,English,S2,8b153cc2c7f5ea9f307f12ea945a5e9196ee5c52,,,,
110,6,A Unifying Review of Deep and Shallow Anomaly Detection,paper,English,Common,30b99ae0682d42a2010be401dd1d8f7baca9bb5f,535744563039386055,,,
111,2,Acalvaria: a unique congenital anomaly,paper,English,GS,76171e466d125dcc4cd5c36ccf28c6bad1c925cb,13589025543753957722,,,
112,2,Acardiac anomaly: current issues in prenatal assessment and treatment,paper,English,GS,b4f25aa1c2a459e85359ca3b323cbe22b58e98ef,17339740402089243898,,,
113,2,Acardiac anomaly: Review of the subject with case report and emphasis on practical sonography,paper,English,S2,b576e5285a0d577303bb0e0e8cb0c291b8197842,,,,
114,4,Accommodating outliers and nonlinearity in decision models,paper,English,GS,c15b569503b999dab65fa69df011aec057d70a1b,9052804679336664808,,,
115,5,Activity and Anomaly Detection in Smart Home: A Survey,paper,English,Common,8960a7bb22481405c6c8d8b25918a7fec4073833,3168250136974544343,,,
116,5,Advancements of Data Anomaly Detection Research in Wireless Sensor Networks: A Survey and Open Issues,paper,English,Common,5d1076238166aeea8ad53de5865eaa1cc2ec5617,17779151440091117197,,,
117,6,Advancements of Outlier Detection: A Survey,paper,English,Common,0e20a8346ee9181ba7ee27e857bd7c09ba34f8ba,11375383904794621025,,,
118,2,AGN Populations in Large-volume X-Ray Surveys: Photometric Redshifts and Population Types Found in the Stripe 82X Survey,paper,English,S2,29e788054cc67c92368f04ebf5149b83d3ac305b,,,,
119,4,Ambulatory blood pressure monitoring: a critical review of the current methods to handle outliers.,paper,English,GS,383f0e72ebb6b3f91e11c13d04d9a5c106c2beea,4065184568677411033,,,
120,2,An ALMA Survey of λ Orionis Disks: From Supernovae to Planet Formation,paper,English,S2,a6afa64d33fad4b9a62d537cd938f6024b7ad8cc,,,,
121,4,An approach to the analysis of SDSS spectroscopic outliers based on self-organizing maps-Designing the outlier analysis software package for the next Gaia survey,paper,English,GS,,3116158678780402209,,,
122,4,An approach toward the problem of outliers in QSAR,paper,English,GS,598c3571d798bdeee2d6d3ee0198f1bbcf2a4ce1,18241104271016231839,,,
123,2,An Assessment on Handling of Outlier Subjects in Bioequivalence Study - A Review,paper,English,S2,77076fabe9fb96cc555b6a62628138161f248435,,,,
124,4,An Automatic Survey System for Paved and Unpaved Road Classification and Road Anomaly Detection using Smartphone Sensor,paper,English,S2,6995c760c624c0269e7ba00267151e1e8eee945e,,,,
125,4,"An Extensive Survey on Intrusion Detection- Past, Present, Future",paper,English,S2,0043a28e12cbeeb45f9d58f2aaaf58e43138ad42,,,,
126,3,An introduction to outlier analysis,chapter,English,GS,1bc042ec7a58ca8040ee08178433752f2c16f25e,13301180887127729579,,,
127,2,An Investigation of Nonresponse Bias and Survey Location Variability in the 2017-2018 National Health and Nutrition Examination Survey.,paper,English,S2,7b1ebbcc66f4d901d7aa5ed8d04f57f4d2c7002e,,,,
128,4,An overview and a benchmark of active learning for outlier detection with one-class classifiers,paper,English,GS,cbdd05670c848d896b643e2e543bfd8d8c0c37f7,11182472290590160198,,,
129,5,An overview of anomaly detection techniques: Existing solutions and latest technological trends,paper,English,GS,7c3870e4c6f75aefeb7801c75026cefb512304f6,10626268666258468536,,,
130,5,An overview of deep learning based methods for unsupervised and semi-supervised anomaly detection in videos,paper,English,GS,7198f45e979d4e7bb2ad2f8a5f098ab196c532b6,10287143914546869834,,,
131,5,An overview on trajectory outlier detection,paper,English,Common,b1bd0408e31eac1ef2bf1942388cf41d60fc710b,3326545204149971804,,,
132,6,"Analyzing rare event, anomaly, novelty and outlier detection terms under the supervised classification framework",paper,English,S2,23d2b50b32479570eaa46482dbf7a44aae6a16f0,,,,
133,2,"Android Security: A Survey of Issues, Malware Penetration, and Defenses",paper,English,S2,3c595787d84e1242189e4b8e714a184dc487535e,,,,
134,2,Annual Research Review: Youth firearm violence disparities in the United States and implications for prevention.,paper,English,S2,ab3acebba41f7ff2577bc5751d9f40f0a994e8fe,,,,
135,5,Anomalous Example Detection in Deep Learning: A Survey,paper,English,S2,37eb32915b7767685ec3c9e9728ca9a50a379b8d,,,,
136,2,Anomalous Transport Due to the Conformal Anomaly.,paper,English,S2,06323d508858984632fc648a09832ef4aa3157d3,,,,
137,5,Anomaly Detection and Mitigation at Internet Scale: A Survey,paper,English,S2,d525acacce0f782069593592e61ffadec893b400,,,,
138,5,Anomaly detection by robust statistics,paper,English,GS,89fb75d5fdc16f8c742f95fe1ef312ee13668120,10155373150015614376,,,
139,5,Anomaly Detection for Cyber Security of the Substations: A Survey,paper,English,S2,7649c1eaa3afa6c7715d20b5e930ed01d754d108,,,,
140,5,Anomaly Detection for Discrete Sequences: A Survey,paper,English,Common,53df899e1a18082b8654677b4c0aa95dbd96f0e0,4299534356199833882,,,
141,5,Anomaly Detection for IoT Time-Series Data: A Survey,paper,English,Common,30d65fbc8d71ac202ee8d7d5f0e58c63a6c6a957,12024281859181766627,,,
142,5,Anomaly Detection for Predictive Maintenance in Industry 4.0- A survey,paper,English,S2,63df84b9f637dd1ea0fcbe3ca38aebddbe3481b2,,,,
143,4,Anomaly Detection for Resonant New Physics with Machine Learning.,paper,English,S2,6b97bb582249022377fafff51e64b3ec197342f2,,,,
144,5,Anomaly detection frameworks for outlier and pattern anomaly of time series in wireless sensor networks,paper,English,S2,9bff02296be70d0b16e85481bb4cb493bc3ad50f,,,,
145,5,Anomaly Detection in Autonomous Driving: A Survey,paper,English,Common,e6c013c835be471502023b3f31d52d59ada76770,6640537701070652933,,,
146,5,Anomaly Detection in Blockchain Networks: A Comprehensive Survey,paper,English,Common,3652d15fbfdc4002a25c0ea94e7a6e76b7f9d796,4484113181406897685,,,
147,5,Anomaly Detection in Computer Networks: A State-of-the-Art Review,paper,English,Common,f2a944c139038253e5a637bba6df2a1cc8985490,16090374183096898742,,,
148,6,Anomaly Detection in Data Mining: A Review,paper,English,S2,20b7ff2f0bc5a87602c46b63aabed5afe6e7e833,,,,
149,5,Anomaly detection in dynamic networks: a survey,paper,English,Common,23f9220e0ca8f2cb522c36d158ca88f043007c68,4168737270685308874,,,
150,5,Anomaly detection in online social network: A survey,paper,English,Common,116ec0808e7c2a49f7f96c4efe2568f89ef26ef1,8361506767342359562,,,
151,5,Anomaly Detection in Road Traffic Using Visual Surveillance,paper,English,Common,88573561d2e662f53201971fab6ecf6beceefe73,7508689150525391328,,,
152,5,Anomaly Detection in Univariate Time-series: A Survey on the State-of-the-Art,paper,English,Common,cf45bce52cca1f6e450ddaa1d19fe6e30661dffb,4370422915042112938,,,
153,5,Anomaly detection in wireless sensor networks,paper,English,GS,552525e2a7d6e84752ca0c05bfbf73311af3eeb0,18214717940256118043,,,
154,5,Anomaly detection in wireless sensor networks in a non-stationary environment,paper,English,GS,81de9af03464ff044cd6527c83a0f07ccf278487,12742933431864796554,,,
155,5,Anomaly detection in wireless sensor networks: A survey,paper,English,Common,bc36143f51eb1a23b28eabb30af040f9f00a36b7,2532259948808409695,,,
156,6,Anomaly detection methods for categorical data: A review,paper,English,GS,91d7a634288acf07a5d2cef021e1f1ba5ea1662e,141569629754130225,,,
157,5,Anomaly detection methods in wired networks: a survey and taxonomy,paper,English,GS,a51fb25f13babadef37e6031895bc9313a5e0ac7,5064548159304104538,,,
158,5,Anomaly Detection Techniques using Deep Learning in IoT: A Survey,paper,English,S2,8d0b950cfdd1ee4794095670edd81dd0dae1d278,,,,
159,5,Anomaly detection with density estimation,paper,English,S2,6b6360c6d2bdc55360925445b77d21126b477e9a,,,,
160,5,"Anomaly Detection, Analysis and Prediction Techniques in IoT Environment: A Systematic Literature Review",paper,English,Common,4faebdc6299470cb9018f5446c6e779d0f9da8c0,2546662221722829923,,,
161,6,Anomaly detection: A survey,paper,English,Common,71d1ac92ad36b62a04f32ed75a10ad3259a7218d,556402703576663948,4692669585086585586,,
162,2,Anomaly Indicators for Time-Reversal Symmetric Topological Orders.,paper,English,S2,77f55ebe1f22406cba3869377000580956711b65,,,,
163,4,Anomaly Teletraffic Intrusion Detection Systems on Hadoop-Based Platforms: A Survey of Some Problems and Solutions,paper,English,S2,e2b7c1c9354ccdaf8734a4a6f28bbd082ac4dc67,,,,
164,5,"Artificial intelligence based anomaly detection of energy consumption in buildings: A review, current trends and new perspectives",paper,English,GS,77cf5bbd7663c1f7dc6fb103ec753ab12f85ca3c,14834786797091428813,,,
165,4,Asymptotic Theory of Outlier Detection Algorithms for Linear Time Series Regression Models,paper,English,S2,ad28b5681900b2d512c34848acd412bb6102d5a1,,,,
166,4,Attack and anomaly detection in iot networks using machine learning techniques: A review,paper,English,GS,8fd4b40068904fd355f71515d40fc2f1f222f0e9,6202896055905503535,,,
167,2,Axial anomaly: The modern status,paper,English,GS,46965dd905ebb6e3de9a1d19002e75a0f42e33a6,7726295656868352732,,,
168,4,Benchmarking of machine learning for anomaly based intrusion detection systems in the CICIDS2017 dataset,paper,English,GS,48f2ab8184b9d6abaafc8ee23b292ae775f72128,3944837213410723121,,,
169,6,"Best-practice recommendations for defining, identifying, and handling outliers",paper,English,GS,3a98ae164076c60ff63a1281b8c323a4f5ed33d7,7112575683114429433,,,
170,5,BGP Anomaly Detection Techniques: A Survey,paper,English,Common,a7c2aa19f50ca94890553a4e854c3917a37849a8,2449138419628332103,,,
171,2,Body‐ and Movement‐Oriented Interventions for Posttraumatic Stress Disorder: A Systematic Review and Meta‐Analysis,paper,English,S2,f4b676466d45dd77d212794831c2805fd0ec8736,,,,
172,2,Cellular metabolism and disease: what do metabolic outliers teach us?,paper,English,GS,b0686eee040e1a95dc7f5f16ff2f6270f80bf465,17926642465601485506,,,
173,5,Characteristics and classification of outlier detection techniques for wireless sensor networks in harsh environments: a survey,paper,English,Common,0aeacd30cd26d5ec2c895d42ba6dd995b8c9458d,12099493419425416240,,,
174,2,Chiari III malformation: a comprehensive review of this enigmatic anomaly,paper,English,S2,6081d7471adabb6d5fe25057dc23b3b60938b0d2,,,,
175,2,Chiral anomaly and diffusive magnetotransport in Weyl metals.,paper,English,S2,476194dfb403062a5a151c93e048554e5963cb7b,,,,
176,2,Chiral anomaly and local polarization effect from the quantum kinetic approach.,paper,English,S2,059d3b98f480fc18aa4cac90b4edd52adbd50296,,,,
177,2,Chiral anomaly and transport in Weyl metals,paper,English,GS,b6ff7f1ececec37b8e84a97c350707962c238895,14453679053943329022,,,
178,2,Chiral Anomaly as the Origin of the Planar Hall Effect in Weyl Semimetals.,paper,English,S2,1d859785cfbd65920031933bfacfe9b251679a85,,,,
179,3,Classification and Anomaly Detection for Astronomical Survey Data,paper,English,S2,bbbe62e768b626706727c5fd2eeaa7a78c032ece,,,,
180,5,Comparative Study on Trajectory Outlier Detection Algorithms,paper,English,S2,987282e7219a374b57e8668ffd3b6d74513382a0,,,,
181,5,Comparison of local outlier detection techniques in spatial multivariate data,paper,English,S2,aeb470bfcfe0a2ba15e18365da14b2d149505f22,,,,
182,2,Conformal anomaly as a source of soft photons in heavy ion collisions.,paper,English,S2,3428a3cf11ef578282086d46ef1761f4f9c8c88b,,,,
183,2,Constraining the minimal flavor violating leptoquark explanation of the RD(*) anomaly,paper,English,S2,2b7727ffdbd58577f053e44c3f83d876b18011ab,,,,
184,3,Cooks Distance and Mahanabolis Distance Outlier Detection Methods to identify Review Spam,paper,English,S2,056b2de6dda12e2caaa4dc946012263de6c10fcf,,,,
185,2,Crowded Scene Analysis: A Survey,paper,English,S2,1018e1e0ceda44e0f643b376d008934cdfae8c0f,,,,
186,2,Current clinical practice in the screening and diagnosis of spatial neglect post-stroke: Findings from a multidisciplinary international survey,paper,English,S2,d3027b93534e11b6b6f5172198f8d9d815245c07,,,,
187,2,Dark Matter Interpretation of the Neutron Decay Anomaly.,paper,English,S2,de0c53f1965968daf2cb5b5b12f809c974b2e764,,,,
